text,source,page
"ed pieces threatened by black (i.e., which can be taken on black’s next turn)  x6(b) — number of black pieces threatened by red ^V = w0 + w1 · x1(b) + w2 · x2(b) + w3 · x3(b) + w4 · x4(b) +w5 · x5(b) + w6 · x6(b) Where w0 through w6 are numerical coefficients or weights to be obtained by a learning algorithm. Weights w1 to w6 will determine the relative importance of different board features.",MACHINE LEARNING(R17A0534) (1).pdf,15
"11 Specification of the Machine Learning Problem at this time — Till now we worked on choosing the type of training experience, choosing the target function and its representation. The checkers learning task can be summarized as below.  Task T : Play Checkers  Performance Measure : % of games won in world tournament  Training Experience E : opportunity to play against itself  Target Function : V : Board → R  Target Function Representation : ^V = w0 + w1 · x1(b) + w2 · x2(b) + w3 · x3(b) + w4 · x4(b) +w5 · x5(b) + w6 · x6(b) The first three items above correspond to the specification of the learning task,whereas the final two items constitute design choices for the implementation of the learning program. 1.4.4 Choosing an approximation algorithm for the Target Function Generating train",MACHINE LEARNING(R17A0534) (1).pdf,16
"tute design choices for the implementation of the learning program. 1.4.4 Choosing an approximation algorithm for the Target Function Generating training data — To train our learning program, we need a set of training data, each describing a specific board state b and the training value V_train (b) for b. Each training example is an ordered pair <b,V_train(b)> For example, a training example may be <(x1 = 3, x2 = 0, x3 = 1, x4 = 0, x5 = 0, x6 = 0), +100"">. This is an example where black has won the game since x2 = 0 or red has no remaining pieces. However, such clean values of V_train (b) can be obtained only for board value b that are clear win, loss or draw. In above case, assigning a training value V_train(b) for the specific boards b that are clean win, loss or draw is direct as they a",MACHINE LEARNING(R17A0534) (1).pdf,16
"win, loss or draw. In above case, assigning a training value V_train(b) for the specific boards b that are clean win, loss or draw is direct as they are direct training experience. But in the case of indirect training experience, assigning a training value V_train(b) for the intermediate boards is difficult. In such case, the training values are updated using temporal difference learning. Temporal difference (TD) learning is a concept central to reinforcement learning, in which learning happens through the iterative correction of your estimated returns towards a more accurate target return. Let Successor(b) denotes the next board state following b for which it is again the program’s turn to move. ^V is the learner’s current approximation to V. Using these information, assign the training v",MACHINE LEARNING(R17A0534) (1).pdf,16
"ing b for which it is again the program’s turn to move. ^V is the learner’s current approximation to V. Using these information, assign the training value of V_train(b) for any intermediate board state b as below : V_train(b) ← ^V(Successor(b)) Adjusting the weights Now its time to define the learning algorithm for choosing the weights and best fit the set of training examples. One common approach is to define the best hypothesis as that which minimizes the squared error E between the training values and the values predicted by the hypothesis ^V. The learning algorithm should incrementally refine weights as more training examples become available and it needs to be robust to errors in training data Least Mean Square (LMS) training rule is the one training algorithm that will adjust weights",MACHINE LEARNING(R17A0534) (1).pdf,16
able and it needs to be robust to errors in training data Least Mean Square (LMS) training rule is the one training algorithm that will adjust weights a small amount in the direction that reduces the error. The LMS algorithm is defined as follows:,MACHINE LEARNING(R17A0534) (1).pdf,16
12 1.4.5 Final Design for Checkers Learning system The final design of our checkers learning system can be naturally described by four distinct program modules that represent the central components in many learning systems. 1. The performance System — Takes a new board as input and outputs a trace of the game it played against itself. 2. The Critic — Takes the trace of a game as an input and outputs a set of training examples of the target function. 3. The Generalizer — Takes training examples as input and outputs a hypothesis that estimates the target function. Good generalization to new cases is crucial. 4. The Experiment Generator — Takes the current hypothesis (currently learned function) as input and outputs a new problem (an initial board state) for the performance system to explore.,MACHINE LEARNING(R17A0534) (1).pdf,17
"the current hypothesis (currently learned function) as input and outputs a new problem (an initial board state) for the performance system to explore. Final design of the checkers learning program. 1.5 Types of Learning In general, machine learning algorithms can be classified into three types.  Supervised learning  Unsupervised learning  Reinforcement learning 1.5.1 Supervised learning A training set of examples with the correct responses (targets) is provided and, based on this training set, the algorithm generalises to respond correctly to all possible inputs. This is also called learning from exemplars. Supervised learning is the machine learning task of learning a function that maps an input to an output based on example input-output pairs. In supervised learning, each example in t",MACHINE LEARNING(R17A0534) (1).pdf,17
"ne learning task of learning a function that maps an input to an output based on example input-output pairs. In supervised learning, each example in the training set is a pair consisting of an input object (typically a vector) and an output value. A supervised learning algorithm analyzes the training data and produces a function, which can be used for mapping new examples. In the optimal case, the function will correctly determine the class labels for unseen instances. Both classification and regression",MACHINE LEARNING(R17A0534) (1).pdf,17
"13 problems are supervised learning problems. A wide range of supervised learning algorithms are available, each with its strengths and weaknesses. There is no single learning algorithm that works best on all supervised learning problems. Figure 1.4: Supervised learning Remarks A “supervised learning” is so called because the process of an algorithm learning from the training dataset can be thought of as a teacher supervising the learning process. We know the correct answers (that is, the correct outputs), the algorithm iteratively makes predictions on the training data and is corrected by the teacher. Learning stops when the algorithm achieves an acceptable level of performance. Example Consider the following data regarding patients entering a clinic. The data consists of the gender and a",MACHINE LEARNING(R17A0534) (1).pdf,18
"es an acceptable level of performance. Example Consider the following data regarding patients entering a clinic. The data consists of the gender and age of the patients and each patient is labeled as “healthy” or “sick”. 1.5.2 Unsupervised learning Correct responses are not provided, but instead the algorithm tries to identify similarities between the inputs so that inputs that have something in common are categorised together. The statistical approach to unsupervised learning is known as density estimation. Unsupervised learning is a type of machine learning algorithm used to draw inferences from datasets consisting of input data without labeled responses. In unsupervised learning algorithms, a classification or categorization is not included in the observations. There are no output value",MACHINE LEARNING(R17A0534) (1).pdf,18
"eled responses. In unsupervised learning algorithms, a classification or categorization is not included in the observations. There are no output values and so there is no estimation of functions. Since the examples given to the learner are unlabeled, the accuracy of the structure that is output by the algorithm cannot be evaluated. The most common unsupervised learning method is cluster analysis, which is used for exploratory data analysis to find hidden patterns",MACHINE LEARNING(R17A0534) (1).pdf,18
"14 or grouping in data. Example Consider the following data regarding patients entering a clinic. The data consists of the gender and age of the patients. Based on this data, can we infer anything regarding the patients entering the clinic? 1.5.3 Reinforcement learning This is somewhere between supervised and unsupervised learning. The algorithm gets told when the answer is wrong, but does not get told how to correct it. It has to explore and try out different possibilities until it works out how to get the answer right. Reinforcement learning is sometime called learning with a critic because of this monitor that scores the answer, but does not suggest improvements. Reinforcement learning is the problem of getting an agent to act in the world so as to maximize its rewards. A learner (the p",MACHINE LEARNING(R17A0534) (1).pdf,19
"ot suggest improvements. Reinforcement learning is the problem of getting an agent to act in the world so as to maximize its rewards. A learner (the program) is not told what actions to take as in most forms of machine learning, but instead must discover which actions yield the most reward by trying them. In the most interesting and challenging cases, actions may affect not only the immediate reward but also the next situations and, through that, all subsequent rewards. Example Consider teaching a dog a new trick: we cannot tell it what to do, but we can reward/punish it if it does the right/wrong thing. It has to find out what it did that made it get the reward/punishment. We can use a similar method to train computers to do many tasks, such as playing backgammon or chess, scheduling jobs",MACHINE LEARNING(R17A0534) (1).pdf,19
"de it get the reward/punishment. We can use a similar method to train computers to do many tasks, such as playing backgammon or chess, scheduling jobs, and controlling robot limbs. Reinforcement learning is different from supervised learning. Supervised learning is learning from examples provided by a knowledgeable expert. 1.6 PERSPECTIVES AND ISSUES IN MACHINE LEARNING Perspectives in Machine Learning One useful perspective on machine learning is that it involves searching a very large space of possible hypotheses to determine one that best fits the observed data and any prior knowledge held by the learner. For example, consider the space of hypotheses that could in principle be output by the above checkers learner. This hypothesis space consists of all evaluation functions that can be re",MACHINE LEARNING(R17A0534) (1).pdf,19
"hypotheses that could in principle be output by the above checkers learner. This hypothesis space consists of all evaluation functions that can be represented by some choice of values for the weights wo through w6. The learner's task is thus to search through this vast space to locate the hypothesis that is most consistent with the available training examples. The LMS algorithm for fitting weights achieves this goal by iteratively tuning the weights, adding a correction to each weight each time the hypothesized evaluation function predicts a value that differs from the training value. This algorithm works well when the hypothesis representation considered by the learner defines a continuously parameterized space of potential hypotheses.",MACHINE LEARNING(R17A0534) (1).pdf,19
ion considered by the learner defines a continuously parameterized space of potential hypotheses.,MACHINE LEARNING(R17A0534) (1).pdf,19
"15 Many of the chapters in this book present algorithms that search a hypothesis space defined by some underlying representation (e.g., linear functions, logical descriptions, decision trees, artificial neural networks). These different hypothesis representations are appropriate for learning different kinds of target functions. For each of these hypothesis representations, the corresponding learning algorithm takes advantage of a different underlying structure to organize the search through the hypothesis space. Throughout this book we will return to this perspective of learning as a search problem in order to characterize learning methods by their search strategies and by the underlying structure of the search spaces they explore. We will also find this viewpoint useful in formally analyz",MACHINE LEARNING(R17A0534) (1).pdf,20
"their search strategies and by the underlying structure of the search spaces they explore. We will also find this viewpoint useful in formally analyzing the relationship between the size of the hypothesis space to be searched, the number of training examples available, and the confidence we can have that a hypothesis consistent with the training data will correctly generalize to unseen examples. Issues in Machine Learning Our checkers example raises a number of generic questions about machine learning. The field of machine learning, and much of this book, is concerned with answering questions such as the following:  What algorithms exist for learning general target functions from specific training examples? In what settings will particular algorithms converge to the desired function, giv",MACHINE LEARNING(R17A0534) (1).pdf,20
"r learning general target functions from specific training examples? In what settings will particular algorithms converge to the desired function, given sufficient training data? Which algorithms perform best for which types of problems and representations?  How much training data is sufficient? What general bounds can be found to relate the confidence in learned hypotheses to the amount of training experience and the character of the learner's hypothesis space?  When and how can prior knowledge held by the learner guide the process of generalizing from examples? Can prior knowledge be helpful even when it is only approximately correct?  What is the best strategy for choosing a useful next training experience, and how does the choice of this strategy alter the complexity of the learning",MACHINE LEARNING(R17A0534) (1).pdf,20
"hat is the best strategy for choosing a useful next training experience, and how does the choice of this strategy alter the complexity of the learning problem?  What is the best way to reduce the learning task to one or more function approximation problems? Put another way, what specific functions should the system attempt to learn? Can this process itself be automated?  How can the learner automatically alter its representation to improve its ability to represent and learn the target function? 1.7 Version Spaces Definition (Version space). A concept is complete if it covers all positive examples. A concept is consistent if it covers none of the negative examples. The version space is the set of all complete and consistent concepts. This set is convex and is fully defined by its least an",MACHINE LEARNING(R17A0534) (1).pdf,20
f the negative examples. The version space is the set of all complete and consistent concepts. This set is convex and is fully defined by its least and most general elements. The key idea in the CANDIDATE-ELIMINATION algorithm is to output a description of the set of all hypotheses consistent with the training examples 1.7.1 Representation The Candidate – Elimination algorithm finds all describable hypotheses that are consistent with the,MACHINE LEARNING(R17A0534) (1).pdf,20
"16 observed training examples. In order to define this algorithm precisely, we begin with a few basic definitions. First, let us say that a hypothesis is consistent with the training examples if it correctly classifies these examples. Definition: A hypothesis h is consistent with a set of training examples D if and only if h(x) = c(x) for each example (x, c(x)) in D. Note difference between definitions of consistent and satisfies  An example x is said to satisfy hypothesis h when h(x) = 1, regardless of whether x is a positive or negative example of the target concept.  An example x is said to consistent with hypothesis h iff h(x) = c(x) Definition: version space- The version space, denoted V SH, D with respect to hypothesis space H and training examples D, is the subset of hypotheses fr",MACHINE LEARNING(R17A0534) (1).pdf,21
"finition: version space- The version space, denoted V SH, D with respect to hypothesis space H and training examples D, is the subset of hypotheses from H consistent with the training examples in D 1.7.2 The LIST-THEN-ELIMINATION algorithm The LIST-THEN-ELIMINATE algorithm first initializes the version space to contain all hypotheses in H and then eliminates any hypothesis found inconsistent with any training example. 1. VersionSpace c a list containing every hypothesis in H 2. For each training example, (x, c(x)) remove from VersionSpace any hypothesis h for which h(x) ≠ c(x) 3. Output the list of hypotheses in VersionSpace  List-Then-Eliminate works in principle, so long as version space is finite.  However, since it requires exhaustive enumeration of all hypotheses in practice it is n",MACHINE LEARNING(R17A0534) (1).pdf,21
"nate works in principle, so long as version space is finite.  However, since it requires exhaustive enumeration of all hypotheses in practice it is not feasible. A More Compact Representation for Version Spaces The version space is represented by its most general and least general members. These members form general and specific boundary sets that delimit the version space within the partially ordered hypothesis space. Definition: The general boundary G, with respect to hypothesis space H and training data D, is the set of maximally general members of H consistent with D G {g  H | Consistent (g, D)(g'  H)[(g'  g)  Consistent(g', D)]} g Definition: The specific boundary S, with respect to hypothesis space H and training data D, is the set of minimally general (i.e., maximally speci",MACHINE LEARNING(R17A0534) (1).pdf,21
"g Definition: The specific boundary S, with respect to hypothesis space H and training data D, is the set of minimally general (i.e., maximally specific) members of H consistent with D. S {s  H | Consistent (s, D)(s'  H)[(s  s')  Consistent(s', D)]} g Theorem: Version Space representation theorem Theorem: Let X be an arbitrary set of instances and Let H be a set of Boolean-valued hypotheses defined over X. Let c: X →{O, 1} be an arbitrary target concept defined over X, and let D be an arbitrary set of training examples",MACHINE LEARNING(R17A0534) (1).pdf,21
"17 {(x, c(x))). For all X, H, c, and D such that S and G are well defined, VS ={ h  H | (s  S ) (g  G ) ( g  h  s )} H,D g g To Prove: 1. Every h satisfying the right hand side of the above expression is in VS H, D 2. Every member of VS satisfies the right-hand side of the expression H, D Sketch of proof: 1. let g, h, s be arbitrary members of G, H, S respectively with g g h g s  By the definition of S, s must be satisfied by all positive examples in D. Because h g s, h must also be satisfied by all positive examples in D.  By the definition of G, g cannot be satisfied by any negative example in D, and because g g h h cannot be satisfied by any negative example in D. Because h is satisfied by all positive examples in D and by no negative examples in D, h is consistent with D,",MACHINE LEARNING(R17A0534) (1).pdf,22
"atisfied by any negative example in D. Because h is satisfied by all positive examples in D and by no negative examples in D, h is consistent with D, and therefore h is a member of VSH,D. 2. It can be proven by assuming some h in VSH,D,that does not satisfy the right-hand side of the expression, then showing that this leads to an inconsistency 1.7.3 CANDIDATE-ELIMINATION Learning Algorithm The CANDIDATE-ELIMINTION algorithm computes the version space containing all hypotheses from H that are consistent with an observed sequence of training examples. Initialize G to the set of maximally general hypotheses in H Initialize S to the set of maximally specific hypotheses in H For each training example d, do • If d is a positive example • Remove from G any hypothesis inconsistent with d • For eac",MACHINE LEARNING(R17A0534) (1).pdf,22
"lly specific hypotheses in H For each training example d, do • If d is a positive example • Remove from G any hypothesis inconsistent with d • For each hypothesis s in S that is not consistent with d • Remove s from S • Add to S all minimal generalizations h of s such that • h is consistent with d, and some member of G is more general than h • Remove from S any hypothesis that is more general than another hypothesis in S • If d is a negative example • Remove from S any hypothesis inconsistent with d • For each hypothesis g in G that is not consistent with d • Remove g from G",MACHINE LEARNING(R17A0534) (1).pdf,22
"18 • Add to G all minimal specializations h of g such that • h is consistent with d, and some member of S is more specific than h • Remove from G any hypothesis that is less general than another hypothesis in G CANDIDATE- ELIMINTION algorithm using version spaces 1.7.4 An Illustrative Example Example Sky AirTemp Humidity Wind Water Forecast EnjoySport 1 Sunny Warm Normal Strong Warm Same Yes 2 Sunny Warm High Strong Warm Same Yes 3 Rainy Cold High Strong Warm Change No 4 Sunny Warm High Strong Cool Change Yes CANDIDATE-ELIMINTION algorithm begins by initializing the version space to the set of all hypotheses in H; Initializing the G boundary set to contain the most general hypothesis in H G0 ?, ?, ?, ?, ?, ? Initializing the S boundary set to contain the most specific (least general) hyp",MACHINE LEARNING(R17A0534) (1).pdf,23
"set to contain the most general hypothesis in H G0 ?, ?, ?, ?, ?, ? Initializing the S boundary set to contain the most specific (least general) hypothesis S0 , , , , ,   When the first training example is presented, the CANDIDATE-ELIMINTION algorithm checks the S boundary and finds that it is overly specific and it fails to cover the positive example.  The boundary is therefore revised by moving it to the least more general hypothesis that covers this new example  No update of the G boundary is needed in response to this training example because Go correctly covers this example  When the second training example is observed, it has a similar effect of generalizing S further to S2, leaving G again unchanged i.e., G2 = G1 = G0",MACHINE LEARNING(R17A0534) (1).pdf,23
"has a similar effect of generalizing S further to S2, leaving G again unchanged i.e., G2 = G1 = G0",MACHINE LEARNING(R17A0534) (1).pdf,23
"19  Consider the third training example. This negative example reveals that the G boundary of the version space is overly general, that is, the hypothesis in G incorrectly predicts that this new example is a positive example.  The hypothesis in the G boundary must therefore be specialized until it correctly classifies this new negative example. Given that there are six attributes that could be specified to specialize G2, why are there only three new hypotheses in G3? For example, the hypothesis h = (?, ?, Normal, ?, ?, ?) is a minimal specialization of G2 that correctly labels the new example as a negative example, but it is not included in G3. The reason this hypothesis is excluded is that it is inconsistent with the previously encountered positive examples Consider the fourth training",MACHINE LEARNING(R17A0534) (1).pdf,24
G3. The reason this hypothesis is excluded is that it is inconsistent with the previously encountered positive examples Consider the fourth training example.,MACHINE LEARNING(R17A0534) (1).pdf,24
"20  This positive example further generalizes the S boundary of the version space. It also results in removing one member of the G boundary, because this member fails to cover the new positive example After processing these four examples, the boundary sets S4 and G4 delimit the version space of all hypotheses consistent with the set of incrementally observed training examples. 1.8 Probably approximately correct learning In computer science, computational learning theory (or just learning theory) is a subfield of artificial intelligence devoted to studying the design and analysis of machine learning algorithms. In computational learning theory, probably approximately correct learning (PAC learning) is a framework for mathematical analysis of machine learning algorithms. It was proposed in",MACHINE LEARNING(R17A0534) (1).pdf,25
"y, probably approximately correct learning (PAC learning) is a framework for mathematical analysis of machine learning algorithms. It was proposed in 1984 by Leslie Valiant. In this framework, the learner (that is, the algorithm) receives samples and must select a hypothesis from a certain class of hypotheses. The goal is that, with high probability (the “probably” part), the selected hypothesis will have low generalization error (the “approximately correct” part). In this section we first give an informal definition of PAC-learnability. After introducing a few nore notions, we give a more formal, mathematically oriented, definition of PAC-learnability. At the end, we mention one of the applications of PAC-learnability. PAC-learnability To define PAC-learnability we require some specific t",MACHINE LEARNING(R17A0534) (1).pdf,25
"arnability. At the end, we mention one of the applications of PAC-learnability. PAC-learnability To define PAC-learnability we require some specific terminology and related notations.",MACHINE LEARNING(R17A0534) (1).pdf,25
"21  Let X be a set called the instance space which may be finite or infinite. For example, X may be the set of all points in a plane.  A concept class C for X is a family of functions c : X  {0; 1}. A member of C is called a concept. A concept can also be thought of as a subset of X. If C is a subset of X, it defines a unique function µc : X  {0; 1} as follows:  A hypothesis h is also a function h : X  {0; 1}. So, as in the case of concepts, a hypothesis can also be thought of as a subset of X. H will denote a set of hypotheses.  We assume that F is an arbitrary, but fixed, probability distribution over X.  Training examples are obtained by taking random samples from X. We assume that the samples are randomly generated from X according to the probability distribution F. Now, we giv",MACHINE LEARNING(R17A0534) (1).pdf,26
"ned by taking random samples from X. We assume that the samples are randomly generated from X according to the probability distribution F. Now, we give below an informal definition of PAC-learnability. Definition (informal) Let X be an instance space, C a concept class for X, h a hypothesis in C and F an arbitrary, but fixed, probability distribution. The concept class C is said to be PAC-learnable if there is an algorithm A which, for samples drawn with any probability distribution F and any concept c Є C, will with high probability produce a hypothesis h Є C whose error is small. Examples To illustrate the definition of PAC-learnability, let us consider some concrete examples. Figure : An axis-aligned rectangle in the Euclidean plane Example",MACHINE LEARNING(R17A0534) (1).pdf,26
t us consider some concrete examples. Figure : An axis-aligned rectangle in the Euclidean plane Example,MACHINE LEARNING(R17A0534) (1).pdf,26
"22  Let the instance space be the set X of all points in the Euclidean plane. Each point is represented by its coordinates (x; y). So, the dimension or length of the instances is 2.  Let the concept class C be the set of all “axis-aligned rectangles” in the plane; that is, the set of all rectangles whose sides are parallel to the coordinate axes in the plane (see Figure).  Since an axis-aligned rectangle can be defined by a set of inequalities of the following form having four parameters a ≤ x ≤ b, c ≤ y ≤ d the size of a concept is 4.  We take the set H of all hypotheses to be equal to the set C of concepts, H = C. Given a set of sample points labeled positive or negative, let L be the algorithm which outputs the hypothesis defined by the axis-aligned rectangle which gives the tightes",MACHINE LEARNING(R17A0534) (1).pdf,27
"points labeled positive or negative, let L be the algorithm which outputs the hypothesis defined by the axis-aligned rectangle which gives the tightest fit to the positive examples (that is, that rectangle with the smallest area that includes all of the positive examples and none of the negative examples) (see Figure bleow). Figure : Axis-aligned rectangle which gives the tightest fit to the positive examples It can be shown that, in the notations introduced above, the concept class C is PAC-learnable by the algorithm L using the hypothesis space H of all axis-aligned rectangles. 1.9 Vapnik-Chervonenkis (VC) dimension The concepts of Vapnik-Chervonenkis dimension (VC dimension) and probably approximate correct (PAC) learning are two important concepts in the mathematical theory of learnabi",MACHINE LEARNING(R17A0534) (1).pdf,27
"hervonenkis dimension (VC dimension) and probably approximate correct (PAC) learning are two important concepts in the mathematical theory of learnability and hence are mathematically oriented. The former is a measure of the capacity (complexity, expressive power, richness, or flexibility) of a space of functions that can be learned by a classification algorithm. It was originally defined by Vladimir Vapnik and Alexey Chervonenkis in 1971. The latter is a framework for the mathematical analysis of learning algorithms. The goal is to check whether the probability for a selected hypothesis to be approximately correct is very high. The notion of PAC learning was proposed by Leslie Valiant in 1984. V-C dimension Let H be the hypothesis space for some machine learning problem. The Vapnik-Chervo",MACHINE LEARNING(R17A0534) (1).pdf,27
"PAC learning was proposed by Leslie Valiant in 1984. V-C dimension Let H be the hypothesis space for some machine learning problem. The Vapnik-Chervonenkis dimension of H, also called the VC dimension of H, and denoted by V C(H), is a measure of the complexity (or, capacity, expressive power, richness, or flexibility) of the space H. To define the VC dimension we require the notion of the shattering of a set of instances.",MACHINE LEARNING(R17A0534) (1).pdf,27
"23 Shattering of a set Let D be a dataset containing N examples for a binary classification problem with class labels 0 and 1. Let H be a hypothesis space for the problem. Each hypothesis h in H partitions D into two disjoint subsets as follows: Such a partition of S is called a “dichotomy” in D. It can be shown that there are 2N possible dichotomies in D. To each dichotomy of D there is a unique assignment of the labels “1” and “0” to the elements of D. Conversely, if S is any subset of D then, S defines a unique hypothesis h as follows: Thus to specify a hypothesis h, we need only specify the set {x Є D | h(x) = 1}. Figure 3.1 shows all possible dichotomies of D if D has three elements. In the figure, we have shown only one of the two sets in a dichotomy, namely the set {x Є D | h(x) = 1",MACHINE LEARNING(R17A0534) (1).pdf,28
"sible dichotomies of D if D has three elements. In the figure, we have shown only one of the two sets in a dichotomy, namely the set {x Є D | h(x) = 1}.The circles and ellipses represent such sets. Definition A set of examples D is said to be shattered by a hypothesis space H if and only if for every dichotomy of D there exists some hypothesis in H consistent with the dichotomy of D. The following example illustrates the concept of Vapnik-Chervonenkis dimension. Example In figure , we see that an axis-aligned rectangle can shatter four points in two dimensions. Then VC(H), when H is the hypothesis class of axis-aligned rectangles in two dimensions, is four. In calculating the VC dimension, it is enough that we find four points that can be shattered; it is not necessary that we be able to s",MACHINE LEARNING(R17A0534) (1).pdf,28
"sions, is four. In calculating the VC dimension, it is enough that we find four points that can be shattered; it is not necessary that we be able to shatter any four points in two dimensions.",MACHINE LEARNING(R17A0534) (1).pdf,28
"24 Fig: An axis-aligned rectangle can shattered four points. Only rectangle covering two points are shown. VC dimension may seem pessimistic. It tells us that using a rectangle as our hypothesis class, we can learn only datasets containing four points and not more. Unit II Supervised and Unsupervised Learning Topics: Decision Trees: ID3, Classification and Regression Trees, Regression: Linear Regression, Multiple Linear Regression, Logistic Regression, Neural Networks: Introduction, Perception, Multilayer Perception, Support Vector Machines: Linear and Non-Linear, Kernel Functions, K Nearest Neighbors. Introduction to clustering, K-means clustering, K-Mode Clustering. 2.1. Decision Tree Introduction Decision Trees are a type of Supervised Machine Learning (that is you explain what the inpu",MACHINE LEARNING(R17A0534) (1).pdf,29
"tering, K-Mode Clustering. 2.1. Decision Tree Introduction Decision Trees are a type of Supervised Machine Learning (that is you explain what the input is and what the corresponding output is in the training data) where the data is continuously split according to a certain parameter. The tree can be explained by two entities, namely decision nodes and leaves. The leaves are the decisions or the final outcomes. And the decision nodes are where the data is split. An example of a decision tree can be explained using above binary tree. Let’s say you want to predict whether a person is fit given their information like age, eating habit, and physical activity, etc. The",MACHINE LEARNING(R17A0534) (1).pdf,29
"al activity, etc. The",MACHINE LEARNING(R17A0534) (1).pdf,29
"25 decision nodes here are questions like ‘What’s the age?’, ‘Does he exercise?’, and ‘Does he eat a lot of pizzas’? And the leaves, which are outcomes like either ‘fit’, or ‘unfit’. In this case this was a binary classification problem (a yes no type problem). There are two main types of Decision Trees: 1. Classification trees (Yes/No types) What we have seen above is an example of classification tree, where the outcome was a variable like ‘fit’ or ‘unfit’. Here the decision variable is Categorical. 2. Regression trees (Continuous data types) Here the decision or the outcome variable is Continuous, e.g. a number like 123. Working Now that we know what a Decision Tree is, we’ll see how it works internally. There are many algorithms out there which construct Decision Trees, but one of the b",MACHINE LEARNING(R17A0534) (1).pdf,30
"know what a Decision Tree is, we’ll see how it works internally. There are many algorithms out there which construct Decision Trees, but one of the best is called as ID3 Algorithm. ID3 Stands for Iterative Dichotomiser 3. Before discussing the ID3 algorithm, we’ll go through few definitions. Entropy Entropy, also called as Shannon Entropy is denoted by H(S) for a finite set S, is the measure of the amount of uncertainty or randomness in data. Intuitively, it tells us about the predictability of a certain event. Example, consider a coin toss whose probability of heads is 0.5 and probability of tails is 0.5. Here the entropy is the highest possible, since there’s no way of determining what the outcome might be. Alternatively, consider a coin which has heads on both the sides, the entropy of",MACHINE LEARNING(R17A0534) (1).pdf,30
"sible, since there’s no way of determining what the outcome might be. Alternatively, consider a coin which has heads on both the sides, the entropy of such an event can be predicted perfectly since we know beforehand that it’ll always be heads. In other words, this event has no randomness hence it’s entropy is zero. In particular, lower values imply less uncertainty while higher values imply high uncertainty. Information Gain Information gain is also called as Kullback-Leibler divergence denoted by IG(S,A) for a set S is the effective change in entropy after deciding on a particular attribute A. It measures the relative change in entropy with respect to the independent variables      A S H S H A S IG , ,   Alternatively, where IG(S, A) is the information gain by applying feature A.",MACHINE LEARNING(R17A0534) (1).pdf,30
"respect to the independent variables      A S H S H A S IG , ,   Alternatively, where IG(S, A) is the information gain by applying feature A. H(S) is the Entropy of the entire set, while the second term calculates the Entropy after applying the feature A, where P(x) is the probability of event x. Let’s understand this with the help of an example Consider a piece of data collected over the course of 14 days where the features are Outlook, Temperature, Humidity, Wind and the outcome variable is whether Golf was played on the day. Now, our job is to build a predictive model which takes in above 4 parameters and predicts whether Golf will be played on the day. We’ll build a decision tree to do that using ID3 algorithm. Day Outlook Temperature Humidity Wind Play Golf D1 Sunny Hot High",MACHINE LEARNING(R17A0534) (1).pdf,30
"l be played on the day. We’ll build a decision tree to do that using ID3 algorithm. Day Outlook Temperature Humidity Wind Play Golf D1 Sunny Hot High Weak No D2 Sunny Hot High Strong No D3 Overcast Hot High Weak Yes           n i x H x P S H A S IG 0 ,",MACHINE LEARNING(R17A0534) (1).pdf,30
"26 D4 Rain Mild High Weak Yes D5 Rain Cool Normal Weak Yes D6 Rain Cool Normal Strong No D7 Overcast Cool Normal Strong Yes D8 Sunny Mild High Weak No D9 Sunny Cool Normal Weak Yes D10 Rain Mild Normal Weak Yes D11 Sunny Mild Normal Strong Yes D12 Overcast Mild High Strong Yes D13 Overcast Hot Normal Weak Yes D14 Rain Mild High Strong No 2.1.1 ID3 ID3 Algorithm will perform following tasks recursively 1. Create root node for the tree 2. If all examples are positive, return leaf node „positive‟ 3. Else if all examples are negative, return leaf node „negative‟ 4. Calculate the entropy of current state H(S) 5. For each attribute, calculate the entropy with respect to the attribute „x‟ denoted by H(S, x) 6. Select the attribute which has maximum value of IG(S, x) 7. Remove the attribute that o",MACHINE LEARNING(R17A0534) (1).pdf,31
"ntropy with respect to the attribute „x‟ denoted by H(S, x) 6. Select the attribute which has maximum value of IG(S, x) 7. Remove the attribute that offers highest IG from the set of attributes 8. Repeat until we run out of all attributes, or the decision tree has all leaf nodes. Now we‟ll go ahead and grow the decision tree. The initial step is to calculate H(S), the Entropy of the current state. In the above example, we can see in total there are 5 No‟s and 9 Yes‟s. Yes No Total 9 5 14 where „x‟ are the possible values for an attribute. Here, attribute „Wind‟ takes two possible values in the sample data, hence x = {Weak, Strong} we‟ll have to calculate: Amongst all the 14 examples we have 8 places where the wind is weak and 6 where the wind is Strong. Wind = Weak Wind = Strong Total 8 6",MACHINE LEARNING(R17A0534) (1).pdf,31
to calculate: Amongst all the 14 examples we have 8 places where the wind is weak and 6 where the wind is Strong. Wind = Weak Wind = Strong Total 8 6 14,MACHINE LEARNING(R17A0534) (1).pdf,31
